Ticker,Company,Sector,Beta,Sharpe_Ratio,Nifty_Correlation,Annual_Volatility_Pct,Max_Drawdown_Pct,Return_1Y_Pct,Return_3Y_Pct,Return_5Y_Pct,Latest_RSI,Latest_Close,Last_Date,Data_Points,Risk_Window_Start
DIVISLAB,Divis Laboratories,Pharma,0.693,0.557,0.434,32.72,-59.54,50.76,143.59,82.72,57.47,9158.0,2026-09-16,5834,2007-09-17
EICHERMOT,Eicher Motors,Auto,0.805,0.823,0.456,36.15,-72.28,9.4,126.48,176.2,34.47,7500.0,2026-09-16,6662,2007-09-17
CIPLA,Cipla,Pharma,0.507,0.33,0.384,27.03,-47.9,-12.08,13.08,48.35,33.93,1358.0,2026-09-16,6665,2007-09-17
SBILIFE,SBI Life Insurance,Insurance,0.784,0.271,0.493,26.54,-46.84,-6.52,24.33,44.63,41.34,1697.9,2026-09-16,2217,2017-10-03
JSWSTEEL,JSW Steel,Metals,1.304,0.451,0.621,43.02,-87.68,12.63,56.16,90.59,39.78,1248.9,2026-09-16,5794,2007-09-17
BAJAJ-AUTO,Bajaj Auto,Auto,0.711,0.55,0.469,31.05,-77.76,29.58,136.86,240.74,47.19,11593.0,2026-09-16,6017,2007-09-17
ADANIPORTS,Adani Ports and SEZ,Infrastructure,1.04,0.352,0.513,41.21,-80.22,22.93,106.58,130.09,51.04,1723.8,2026-09-16,4639,2007-11-27
BRITANNIA,Britannia Industries,FMCG,0.386,0.667,0.312,25.28,-37.68,-18.05,15.08,32.51,33.53,4999.5,2026-09-16,6666,2007-09-17
APOLLOHOSP,Apollo Hospitals,Healthcare,0.539,0.569,0.339,32.58,-39.42,11.02,72.1,80.61,45.06,8696.5,2026-09-16,6013,2007-09-17
TATACONSUM,Tata Consumer Products,FMCG,0.729,0.436,0.47,31.75,-52.46,-7.65,16.8,19.27,36.32,1000.1,2026-09-16,6664,2007-09-17
TATASTEEL,Tata Steel,Metals,1.341,0.275,0.665,41.26,-83.66,8.58,47.77,47.7,44.07,183.0,2026-09-16,6667,2007-09-17
HINDALCO,Hindalco Industries,Metals,1.352,0.326,0.64,43.23,-80.95,29.34,99.49,108.19,39.27,972.7,2026-09-16,6666,2007-09-17
DRREDDY,Dr Reddys Laboratories,Pharma,0.454,0.353,0.337,27.62,-55.89,-12.45,-0.22,19.47,39.34,1140.0,2026-09-16,6664,2007-09-17
TRENT,Trent Limited,Consumer,0.649,0.602,0.369,36.02,-73.3,-46.11,34.12,179.43,36.59,2769.7,2026-09-16,6014,2007-09-17
NESTLEIND,Nestle India,FMCG,0.253,0.204,0.187,27.71,-76.38,16.15,26.6,46.14,37.57,1384.5,2026-09-16,5987,2007-09-17
HEROMOTOCO,Hero MotoCorp,Auto,0.669,0.409,0.46,29.82,-58.18,1.87,89.28,113.34,41.54,5235.0,2026-09-16,6014,2007-09-17
SHRIRAMFIN,Shriram Finance,NBFC,0.86,0.512,0.429,41.09,-71.87,60.26,166.99,280.24,28.62,979.0,2026-09-16,6017,2007-09-17
